Wrong,Right
"So, if I can choose days, I would like to go to the U.S.A  on  July 2001.","So, if I can choose days, I would like to go to the U.S.A  in  July 2001."
"About  accomodation , I prefer  stay  in log cabins because I don't like to stay in tents which are  unconfortable  for me.","About  accommodation , I prefer  to stay  in log cabins because I don't like to stay in tents which are  uncomfortable  for me."
I am  not also  keen on preparing it.,I am  also not  keen on preparing it.
"In Japan, I often play Golf but as you know Japanese weather  condition   is  not good enough for enjoying  play  Golf, but California has good weather, which  are   every day sunshuin sunshine every day,  hopefuly .","In Japan, I often play Golf but as you know Japanese weather  conditions   are  not good enough for enjoying  playing  Golf, but California has good weather, which  means   sunshine sunshine every day,  hopefully ."
I am  interst  in playing tennis very much.,I am  interested  in playing tennis very much.
"Finaly , I have some  question .","Finally , I have some  questions ."
"Moreover , how much money do I have to need?","Also , how much money do I have to need?"
Please reply  for  me as soon as possible,Please reply  to  me as soon as possible
Best  riger .,Best  regards .
"As you know, I am a big  fun   with  ""The Max"".","As you know, I am a big  fan   of  ""The Max""."
I have got good experience and fantastic  memory .,I have got good experience and fantastic  memories .
"At the same time, I have got a small amount of money, but it was not important  for  me.","At the same time, I have got a small amount of money, but it was not important  to  me."
"So, my  templary  job was sound engineer but I was not main engineer.","So, my  temporary  job was sound engineer but I was not main engineer."
"When I was a university student, I studied sound  effect , but I  haen't  used effect  equepument   whole my  life because our school  dosen't  have it.","When I was a university student, I studied sound  effects , but I  hadn't  used effect  equipment   my whole  life because our school  doesn't  have it."
"I used this  equepument  during the concert, but I was so  compricate  system.","I used this  equipment  during the concert, but I was so  complicated  system."
"At first, I couldn't understand this system but our staff  was  very kind people.","At first, I couldn't understand this system but our staff  were  very kind people."
They  teached  me  paticulaly specially.,They  taught  me  particularly specially.
"Any way ,","Anyway ,"
Take care of  youself .,Take care of  yourself .
"Your  sincerely,","Yours  sincerely,"
Hellow !,Hello !
I'am  very pleased that I have won the first prize in your competition and I want to tell you that it would be better for me to go to your Camp in July because  this  month I usually have a rest and now I am thinking about it.,I am  very pleased that I have won the first prize in your competition and I want to tell you that it would be better for me to go to your Camp in July because  that  month I usually have a rest and now I am thinking about it.
So your advice  of  going to a camp suits me very well.,So your advice  about  going to a camp suits me very well.
"Answering   on our first question about where would I  prefer to sleep, I prefer tents because  it   is  closer to nature and I like  sleepping  in  sleepping  bags (=BV bags).","To answer   I would  prefer to sleep, I prefer tents because  they   are  closer to nature and I like  sleeping  in  sleeping  bags (=BV bags)."
Now let me tell you about my sports  preferances .,Now let me tell you about my sports  preferences .
"From your list of activities I have chosen swimming and surfing, because all of us  went  out from the water and we have to go back there.","From your list of activities I have chosen swimming and surfing, because all of us  came  out from the water and we have to go back there."
I have chosen them because I am  candidat  toapplying to do a masters  of  sports in water polo.,I have chosen them because I am  candidate  toapplying to do a masters  in  sports in water polo.
Also I would like to have a t-shirt with your  signature .,Also I would like to have a t-shirt with your  autograph .
Yours  scinerly,Yours  sincerely
"In our  lyceum  we have a  listem  of ""double lessons"".","In our  school  we have a  system  of ""double lessons""."
"It means that every day  exept  Sunday we have four lessons and each of the lessons lasts for an hour and a half and it means a ""double lesson"".","It means that every day  except  Sunday we have four lessons and each of the lessons lasts for an hour and a half and it means a ""double lesson""."
I think that is more  convinient  than seven lessons every day and each of the lessons lasts  fourty  fiveforty-five minutes.,I think that is more  convenient  than seven lessons every day and each of the lessons lasts  forty  fiveforty-five minutes.
"It is  convinient , I mean ""double"" lessons, because you have more time to understand the  matherial   what  is  givven  out and because you have to prepare only four subjects for ""tomorrow"" and it is  less  then seven subjects.","It is  convenient , I mean ""double"" lessons, because you have more time to understand the  material   which  is  given  out and because you have to prepare only four subjects for ""tomorrow"" and it is  fewer  then seven subjects."
As a student  of  the  economical  form I think I should tell you about one day in the  time table  of our form.,As a student  in  the  economics  form I think I should tell you about one day in the  timetable  of our form.
"On Tuesday we have  such  lessons: English,  Math , Economics and  Phisics .","On Tuesday we have  these  lessons: English,  Maths , Economics and  Physics ."
"Not only these subjects are studied by us, but also Latin, Russian, Ukrainian, Biology and  Phisical  training, but as we study them we understand that they are not so important as our main subjects.","Not only these subjects are studied by us, but also Latin, Russian, Ukrainian, Biology and  Physical  training, but as we study them we understand that they are not so important as our main subjects."
"I am writing to you in reply  of   our  letter,  that   had let me know I am the winner of the first prize of  your competition.","I am writing to you in reply  to   your  letter,  which   in  your competition."
"First of all, I am very happy to  spent  two weeks at Camp California in the USA.","First of all, I am very happy to  spend  two weeks at Camp California in the USA."
"Yet, I could only travel in July because I am a student and so my holidays begin  on  July.","Yet, I could only travel in July because I am a student and so my holidays begin  in  July."
"In addition, I would rather sleep in a tent since I like being  near  nature and, especially, singing birds.","In addition, I would rather sleep in a tent since I like being  close to  nature and, especially, singing birds."
"Thus, I enjoy sports and I would like to practice go swimming and climbing.",practise go swimming and climbing.
"To conclude, will you kindly let  my  know if I need some money and what sort of clothes I should bring with me.","To conclude, will you kindly let  me  know if I need some money and what sort of clothes I should bring with me."
Yours  Faithfully,Yours  faithfully
(It is a graduate  engineer  school where we are studying  mecanics  and energetics.) That is why we have to single out  wich  lessons and other activities should be filmed.,(It is a graduate  engineering  school where we are studying  mechanics  and energetics.) That is why we have to single out  which  lessons and other activities should be filmed.
"On one hand , we should be interested in the lessons.","On the one hand , we should be interested in the lessons."
"At first , the research and design  courses  are  exiting  since we are studying how cars are built.","First , the research and design  lessons  are  exciting  since we are studying how cars are built."
"Secondly, we should interview the teacher of heat  transfert  since his  courses  are  rally  breathtaking.","Secondly, we should interview the teacher of heat  transfer  since his  lessons  are  really  breathtaking."
"On the other hand, we should be interested in the other activities such as sports,  wich  could appeal to more students in our school.","On the other hand, we should be interested in the other activities such as sports,  which  could appeal to more students in our school."
"To conclude, in this short video, we must show that thanks to our school we are able to  make come  out the best  of  ourselves.","To conclude, in this short video, we must show that thanks to our school we are able to  bring  out the best  in  ourselves."
Last week I  recived  your letter in  wich  you told me that I won first prize.,Last week I  received  your letter in  which  you told me that I won first prize.
I am  writting  in response  of  it.,I am  writing  in response  to  it.
"First of all, I would like to travel in July, because I can arrange 2 weeks in July  with  my school holidays, in order not to  lose  classes.","First of all, I would like to travel in July, because I can arrange 2 weeks in July  during  my school holidays, in order not to  miss  classes."
"I think I would prefer to be in a  tents , because I think it is  funnier  and you can  be in  more contact with nature, but.","I think I would prefer to be in a  tent , because I think it is  more fun  and you can  have  more contact with nature, but."
In  both of them I am very goodI am very good at both of them.,At  both of them I am very goodI am very good at both of them.
I did a  surf  course last summer and I have gone to singing lessons almost all my life.,I did a  surfing  course last summer and I have gone to singing lessons almost all my life.
and also what kind of clothes  I should  take?,and also what kind of clothes  should I  take?
"Please, when you  recive  this letter give me a call so we can arrange everything.","Please, when you  receive  this letter give me a call so we can arrange everything."
"We are going to  do  a video about daily life at school, the.","We are going to  make  a video about daily life at school, the."
The following classes are the ones I  recomend   to film .,The following classes are the ones I  recommend   filming .
"ENGLISH: the classroom is  beautifull , and  in  the same day we do a lot of  diferents  activities, so it won't be boring watching it because we can have a great time there.","ENGLISH: the classroom is  beautiful , and  on  the same day we do a lot of  different  activities, so it won't be boring watching it because we can have a great time there."
I think that if we film  that  class the people that  watches  it will be  impress  with the equipment we have got.,I think that if we film  this  class the people that  watch  it will be  impressed  with the equipment we have got.
"Instead of  uniform  we could wear costumes, the.","Instead of  uniforms  we could wear costumes, the."
The ones  that  are animals could  pain  their faces.,The ones  who  are animals could  paint  their faces.
I think that if we do it properly we could have a great  spanish  play.,I think that if we do it properly we could have a great  Spanish  play.
"Those three classes are my  choises  ,  I hope we  could  do them and make a very good video about our school.",Those three classes are my  choices  .  I hope we  can  do them and make a very good video about our school.
First of all I would like to travel in July because I  already made  an arrangement with my boss about my free days.,First of all I would like to travel in July because I  have already made  an arrangement with my boss about my free days.
I would prefer to sleep in  an  log cabin.,I would prefer to sleep in  a  log cabin.
I am not  just  to sleeping in  an  tent and I think it  mabey maymight  ruen  my holiday.,I am not  used  to sleeping in  a  tent and I think it  maybe maymight  ruin  my holiday.
"I hope it's possible to sleep in a log cabin but if it's not, you can also put me in  an  tent.","I hope it's possible to sleep in a log cabin but if it's not, you can also put me in  a  tent."
The two activities I would like to choose are : Photography  and  Surfing .,The two activities I would like to choose are photography  and  surfing .
"Photography I never realy   took  any  pratice  inI never really got any practice in photography, yes.","really   got  any  practice  inI never really got any practice in photography, yes."
Yes I have  made  some holiday pictures but I would like to learn more about this.,Yes I have  taken  some holiday pictures but I would like to learn more about this.
So I am not very good  in   Photography .,So I am not very good  at   photography .
I live  nearby  a beach and whenever I have the time I  grape  my  bord  and go surfing.,I live  near  a beach and whenever I have the time I  grab  my  board  and go surfing.
I am  realy  looking forward to this holiday.,I am  really  looking forward to this holiday.
I hope I have  informed  you enough.,I hope I have  told  you enough.
I'm doing great  esspecially  after my experience with helping at a pop concert.,I'm doing great  especially  after my experience with helping at a pop concert.
I had to help  back stages backstage.,I had to help  backstages backstage.
I had to  take care of  that every artist went in the right dressing room and not in someone  elses .,I had to  make sure  that every artist went in the right dressing room and not in someone  else's .
The  realy  thing was that I had to look after them because without me they would have been lost.,The  real  thing was that I had to look after them because without me they would have been lost.
I had to tell them when they had to go on  stages .,I had to tell them when they had to go on  stage .
What and what kind of clothes they  shoot  wear.,What and what kind of clothes they  should  wear.
"The thing I  realy  liked, was helping the artists and talking to them.","The thing I  really  liked, was helping the artists and talking to them."
"Oke , they screamed at me all the time because they were nervous and excited about their concert.","Okay , they screamed at me all the time because they were nervous and excited about their concert."
Afterwards they  talk  to me and  thanking  me for helping them in those exciting moments.,Afterwards they  talked  to me and  thanked  me for helping them in those exciting moments.
I  realy  got to know them after the concert.,I  really  got to know them after the concert.
They also took me to  a   after hour  party and they asked me if I would like to do this again.,They also took me to  an   after-hours  party and they asked me if I would like to do this again.
And of course I immediately said  Yes !!,And of course I immediately said  yes !!
Mabey  next time you can come with me that.,Maybe  next time you can come with me that.
"The  will call me next week, so I  write  when I  talk  to them.","They  will call me next week, so I  will write  when I  have talked  to them."
"THANK YOU VERY MUCH FOR THE NICE SURPRISE YOU'VE  BEEN GIVEN TO ME,  I JUST CAN'T BELIEVE IT THAT I WON THE FIRST PRIZE.",THANK YOU VERY MUCH FOR THE NICE SURPRISE YOU'VE  .  I JUST CAN'T BELIEVE IT THAT I WON THE FIRST PRIZE.
"I'M AFRAID I CAN ONLY GO  ON  JULY BECAUSE DURING THAT  TIME  I WILL HAVE MY  HOLIDAYS FROM SCHOOL , SO THAT WILL BE FOR ME THE ONLY  POSSIBILITY  OF  TO TAKE  2 WEEKS OFF.","I'M AFRAID I CAN ONLY GO  IN  JULY BECAUSE DURING THAT  MONTH  I WILL HAVE MY  SCHOOL HOLIDAYS , SO THAT WILL BE FOR ME THE ONLY  CHANCE  OF  TAKING  2 WEEKS OFF."
THE KIND OF  ACCOMODATION  I PREFER IS  IN A TENT BECAUSE IN   A SOMMER  CAMP I FIND IT MORE INTERESTING SLEEPING  'OUTSIDE'  UNDER THE SKY WHEN THE WEATHER IS NICE AND WARM.,THE KIND OF  ACCOMMODATION  I PREFER IS  AT   SUMMER  CAMP I FIND IT MORE INTERESTING SLEEPING  OUTSIDE  UNDER THE SKY WHEN THE WEATHER IS NICE AND WARM.
THERE ARE TWO ACTIVITIES I WOULD LIKE TO  PRACTICE DO: BASKETBALL AND PAINTING.,THERE ARE TWO ACTIVITIES I WOULD LIKE TO  PRACTISE DO: BASKETBALL AND PAINTING.
"IM  QUITE GOOD AT PLAYING BASKETBALL BECAUSE I USED TO PLAY FOR ABOUT FIVE YEARS AT SCHOOL ,  WE USED TO HAVE  TRAININGS  SESSIONS TWICE A WEEK AND AT LEAST TWO GAMES  AT  MONTH AGAINST ANOTHER  SCHOOLS , WHICH WAS GREAT.","I'M  QUITE GOOD AT PLAYING BASKETBALL BECAUSE I USED TO PLAY FOR ABOUT FIVE YEARS AT SCHOOL .  WE USED TO HAVE  TRAINING  SESSIONS TWICE A WEEK AND AT LEAST TWO GAMES  A  MONTH AGAINST ANOTHER  SCHOOL , WHICH WAS GREAT."
"PAINTING ALWAYS DID  FASCINATED  ME, EVEN THOUGH I'M NOT SO GOOD  ON  IT, BUT MY FRIENDS  THEY SAY I CAN REALLY PAINT AND THEY LOVE THE THINGS I DO,  THE  TECHNIK  I LIKE THE MOST IS  WATERCOLORS .","PAINTING ALWAYS DID  FASCINATE  ME, EVEN THOUGH I'M NOT SO GOOD  AT  IT, BUT MY FRIENDS  .  THE  TECHNIQUE  I LIKE THE MOST IS  WATERCOLOURS ."
"- CAN YOU PLEASE TELL ME HOW  IS THE WEATHER  THEN, SO I CAN TAKE THE PROPER CLOTHES?","- CAN YOU PLEASE TELL ME HOW  THE WEATHER IS  THEN, SO I CAN TAKE THE PROPER CLOTHES?"
"- MY PARENTS AND  ME , WE ARE NOT SURE HOW MUCH MONEY DO I NEED FOR THE TWO WEEKS, CAN YOU GIVE ME A LITTLE HELP?","- MY PARENTS AND  I , WE ARE NOT SURE HOW MUCH MONEY DO I NEED FOR THE TWO WEEKS, CAN YOU GIVE ME A LITTLE HELP?"
THANK YOU VERY MUCH AND I HOPE  HEARING  FROM YOU SOON.,THANK YOU VERY MUCH AND I HOPE  TO HEAR  FROM YOU SOON.
"DO YOU REALLY WANT TO KNOW ABOUT MY  EXPIERENCE  HELPING AT THE POP CONCERT IN OUR TOWN?, WELL THAT'S GREAT, BECAUSE IT WAS A TERRIFIC DAY.","DO YOU REALLY WANT TO KNOW ABOUT MY  EXPERIENCE  HELPING AT THE POP CONCERT IN OUR TOWN?, WELL THAT'S GREAT, BECAUSE IT WAS A TERRIFIC DAY."
"FIRST WE STARTED VERY EARLY IN THE MORNING, BUILDING  UP THE STAGE AND THE TENT WHERE THE GROUP WAS GOING TO PLAY, YOU KNOW, JUST IN CASE THE RAIN WOULD HAVE COME  ,  BUT WE WERE VERY LUCKY AND THE WEATHER WAS SUNNY AND WARM.","FIRST WE STARTED VERY EARLY IN THE MORNING, BUILDING  IT RAINED  .  BUT WE WERE VERY LUCKY AND THE WEATHER WAS SUNNY AND WARM."
"THEN CAME THE GUY WHO INSTALLED THE SOUND EQUIPMENT (CABLES, BOXES, WIRES, ETC) AND IT WAS VERY INTERESTING SEEING HIM AT WORK ,  EVERYTHING HAD TO BE  ON  THE RIGHT PLACE, PERFECTLY INSTALLED AND PROTECTED, TO AVOID ACCIDENTS.","THEN CAME THE GUY WHO INSTALLED THE SOUND EQUIPMENT (CABLES, BOXES, WIRES, ETC) AND IT WAS VERY INTERESTING SEEING HIM AT WORK .  EVERYTHING HAD TO BE  IN  THE RIGHT PLACE, PERFECTLY INSTALLED AND PROTECTED, TO AVOID ACCIDENTS."
"AT ABOUT FIVE O'CLOCK EVERYTHING WAS READY AND THE BAND CAME  IN  ,  THERE WERE ALREADY PLENTY OF  'FANS'  WAITING FOR THE CONCERT TO BEGIN, WHICH STARTED AT 7 O'CLOCK.","AT ABOUT FIVE O'CLOCK EVERYTHING WAS READY AND THE BAND CAME  ON  .  THERE WERE ALREADY PLENTY OF  FANS  WAITING FOR THE CONCERT TO BEGIN, WHICH STARTED AT 7 O'CLOCK."
"I KNOW THE MUSICIANS FROM  THE SCHOOL TIME, THAT'S  WHY IT WAS EVEN MORE FUN TO HELP AND TO TAKE PART  ON  THIS EVENT, SPECIALLY BECAUSE I REALLY LIKE THE MUSIC THEY PLAY.","I KNOW THE MUSICIANS FROM  WHICH IS  WHY IT WAS EVEN MORE FUN TO HELP AND TO TAKE PART  IN  THIS EVENT, SPECIALLY BECAUSE I REALLY LIKE THE MUSIC THEY PLAY."
"THE  PEOPLE  WENT CRAZY DURING THE  2 HOURS 2-HOUR CONCERT AND  AT LEAST I HELPED AS WELL, SELLING CD'S  ,  IF THEY  WERE  ON SELLING THAT  MUCH , THEY ARE GOING TO BE  FOR SURE VERY FAMOUS  .....","THE  CROWD  WENT CRAZY DURING THE  2 HOUR 2-HOUR CONCERT AND  CDS   -   IF THEY  GO  ON SELLING THAT  MANY , THEY ARE GOING TO BE  VERY FAMOUS FOR SURE  ....."
"First of all, I can travel only in  july  because that is the only time when I am free from my examinations.","First of all, I can travel only in  July  because that is the only time when I am free from my examinations."
I am a good swimmer and I  had  some  expirience  in photography however.,I am a good swimmer and I  have  some  experience  in photography however.
"However, I have  very much  to learn.","However, I have  a lot  to learn."
In the computing department  student  learn about  informational  technologies.,In the computing department  students  learn about  information  technologies.
The teacher looks after the  pupil  while they are investigating the topic of the lesson.,The teacher looks after the  pupils  while they are investigating the topic of the lesson.
Kitchen  staff works hard to provide students with a variety of food.,The kitchen  staff works hard to provide students with a variety of food.
The video can  be finished  with a view of the school from outside.,The video can  finish  with a view of the school from outside.
First of all thank you very much for the good news that I have won the first  price  in your competition.,First of all thank you very much for the good news that I have won the first  prize  in your competition.
I hope that it  wouldn't  be a problem for you and that I can go to the Camp California at some time in July.,I hope that it  won't  be a problem for you and that I can go to the Camp California at some time in July.
I would like to stay in a log cabin as I have an  allergie   against  grass.,I would like to stay in a log cabin as I have an  allergy   to  grass.
Then you asked me to  chose  two activities from the list you sent to me.,Then you asked me to  choose  two activities from the list you sent to me.
"Finally, I  have also  some questions  to  you.","Finally, I  also have  some questions  for  you."
"Firstly I would like to know what kind of clothes will be appropriate for the camp, secondly how much money I should take with me for the two weeks and lastly if there are any  possibilies facilities for cooking.","Firstly I would like to know what kind of clothes will be appropriate for the camp, secondly how much money I should take with me for the two weeks and lastly if there are any  possibilities facilities for cooking."
"yours  sincerely,","Yours  sincerely,"
"If you have to go shopping again, because the fridge is empty or you need some new clothes, a lot of time, patience and  straingth  are needed.","If you have to go shopping again, because the fridge is empty or you need some new clothes, a lot of time, patience and  strength  are needed."
All kinds of shopping have more and more become  to a rather stressful activity  than an enjoyable on.,All kinds of shopping have more and more become  stressful activity rather  than an enjoyable on.
"I  often begins with finding a  parking  for the car, which can take more than 15 minutes.","It  often begins with finding a  parking space  for the car, which can take more than 15 minutes."
Leaving the car at home is also not a good  ideas  as you often buy so much that you can't carry it in  plastic-bags .,Leaving the car at home is also not a good  idea  as you often buy so much that you can't carry it in  plastic bags .
The next stressful factor begins in the shop :  Everywhere people who are in a hurry and push you from one side to the other.,The next stressful factor begins in the shop .  Everywhere people who are in a hurry and push you from one side to the other.
But  there occure  also problemsproblems also occur if there are products left: either you can't decide between two things or your favourite product is too expensive.,But  occur  also problemsproblems also occur if there are products left: either you can't decide between two things or your favourite product is too expensive.
"Having finally decided and got what you wanted  to, the next torture comes at the cash-desk , when you have to pay.","Having finally decided and got what you wanted  cash desk , when you have to pay."
You have to wait  at  a long queue for more than 15 minutes.,You have to wait  in  a long queue for more than 15 minutes.
"So even if it's nice to have food or new clothes at home, without patience, time and  straingth  you  should  better stay at home or try to find the most convenient time for shopping.","So even if it's nice to have food or new clothes at home, without patience, time and  strength  you  had  better stay at home or try to find the most convenient time for shopping."
I was  greatful  to  hearing  about I have won first prize in the competition.,I was  grateful  to  hear  about I have won first prize in the competition.
I would like to join the camp in July because I  could  get a holiday from my company from 1th July to 28th July.,I would like to join the camp in July because I  can  get a holiday from my company from 1th July to 28th July.
That's why I'd like to feel  adventurally .,That's why I'd like to feel  adventurous .
"When I was 17 years old, I  could be able to won a swimming competition which is  held in a local stadium.","When I was 17 years old, I  was  held in a local stadium."
I  had won  second prize.,I  won  second prize.
"And also, I have  been joining  a  music bend  in my school.","And also, I have  joined  a  band  in my school."
I'm responsible for lead  vocal .,I'm responsible for lead  vocals .
Every Monday  we're having  a practice time.,Every Monday  we have  a practice time.
I've  been always wanting  to go to the U.S.A.,I've  always wanted  to go to the U.S.A.
Director of  teacher,Director of  teachers
Some  suggestion  to make a video about daily life at our school.,Some  suggestions  to make a video about daily life at our school.
The aim of this report is  about suggesting  which lessons and other activities should be filmed and why they are suitable to make a film of.,The aim of this report is  to suggest  which lessons and other activities should be filmed and why they are suitable to make a film of.
"And according to the interviews, the most interesting class is the ""upper  intermidiate "" class.","And according to the interviews, the most interesting class is the ""upper  intermediate "" class."
"The point of ""upper  intermidiate  class"".","The point of ""upper  intermediate  class""."
"Every Friday, they enjoy a special game  for check  vocabulary.","Every Friday, they enjoy a special game  to check  vocabulary."
And they  are always doing   best their homeworks their homework best.,And they  always do   homework their homework best.
I'm  pleaseant pleased to win the first prize in your competition - two weeks at Camp California in the USA.,I'm  pleasant pleased to win the first prize in your competition - two weeks at Camp California in the USA.
"As I'm an  artist  student  in  a particular College, I  only can  go to  your Camp California in July, because in this  month I  got no  any  class , and I'm free to do whatever I want to.","As I'm an  art  student  at  a particular College, I  can only  go to  that  month I  haven't got  any  classes , and I'm free to do whatever I want to."
"I'd like a  log cabins   as  my  accomodation , because it's safer and cleaner than a  tents  and I wouldn't share it  to  anyone.","I'd like a  log cabin   for  my  accommodation , because it's safer and cleaner than a  tent  and I wouldn't share it  with  anyone."
Painting and Photography are  the activities good for me .,Painting and Photography are  good activities for me .
They  fit to   myself  because my art work develops itself in these areas.,They  suit   me  because my art work develops itself in these areas.
"In  Painting I talk about human beings in this world,  in  big canvases; and  in  Photography,  with  Collages, I talk about anger and  guilty  in the  families' family  lines .","Through  Painting I talk about human beings in this world,  on  big canvases; and  through  Photography,  in  Collages, I talk about anger and  guilt  in the  family's family  line ."
So  in  Camp California I would like to keep  me on touching to  these areas.,So  at  Camp California I would like to keep  in touch with  these areas.
"In  summarize, art and music need to be kept with me throughout these two weeks  to  not forget my artistic life.","To  summarize, art and music need to be kept with me throughout these two weeks  so I do  not forget my artistic life."
"We can  analize  when shopping is enjoyable, and when it is not.","We can  analyze  when shopping is enjoyable, and when it is not."
There is joy in shopping when it is  made  by ourselves  to  ourselves.,There is joy in shopping when it is  done  by ourselves  for  ourselves.
"It  means buying whatever we like, just like clothes, records, rings, and books.","That  means buying whatever we like, just like clothes, records, rings, and books."
"What we like is based  in  our  relationship   to   another  people,  in the  work or in the family.","What we like is based  on  our  relationships   with   other  people,  at  work or in the family."
So we have  enjoyable  when we buy what we like  following   another  people's views.,So we have  fun  when we buy what we like  according to   other  people's views.
"On the other hand, sickness in ourselves or our relatives  made  us  unhappy  to  buy .","On the other hand, sickness in ourselves or our relatives  makes  us  reluctant  to  shop ."
"It is an obligation  shopping  for medicines, clothes  to  winter,  doctor   visites , and so forth.","It is an obligation  to shop  for medicines, clothes  for  winter,  doctor's   visits , and so forth."
"A death in the family is  not also  an enjoyable shopping experience, because it is the highest point of the sickness.","A death in the family is  also not  an enjoyable shopping experience, because it is the highest point of the sickness."
Buying coffins and  graveyards  to bury  relatieves  is not as enjoyable as buying clothes.,Buying coffins and  graveyard plots  to bury  relatives  is not as enjoyable as buying clothes.
In  summarizing  shopping can be enjoyable or not depending  of  our  healthy state .,In  summary  shopping can be enjoyable or not depending  on  our  state of health .
"Giving  examples: if we are healthy we buy clothes and Records, we enjoy ourselves; if we are sick, or our relatives are, we buy medicines and we do not enjoy ourselves because it is an obligation.","To give  examples: if we are healthy we buy clothes and Records, we enjoy ourselves; if we are sick, or our relatives are, we buy medicines and we do not enjoy ourselves because it is an obligation."
I can travel only in July because I  have a holidays  from my work onlyonly have a holiday from my work in this month.,I can travel only in July because I  holiday  from my work onlyonly have a holiday from my work in this month.
"So it would be very nice , if it's  possible.",So it would be very nice that's  possible.
"By  the  Accomodation accommodation at the  Camp , I would prefer the tents, because it is something different  wich  you don't  make   everyday !","Regarding  the  Accommodation accommodation at the  camp , I would prefer the tents, because it is something different  which  you don't  do   every day !"
Then the activities that I would like to do are  Singing  and  Swimming .,Then the activities that I would like to do are  singing  and  swimming .
Singing  because it's my favourite hobby and I grew up with it and  Swimming  because I like water and the feeling that you have when you are in it.,I like singing  because it's my favourite hobby and I grew up with it and  swimming  because I like water and the feeling that you have when you are in it.
"Another reason for choosing swimming is that I'm good at it because a few years ago I had lessons, where I  learn   very good   swimming to swim very well.","Another reason for choosing swimming is that I'm good at it because a few years ago I had lessons, where I  learned   well   to swim to swim very well."
Finaly  I've got a question: What clothes must I bring with me and how much money?,Finally  I've got a question: What clothes must I bring with me and how much money?
"yours  faithfuly ,","yours  faithfully ,"
To look  for clothes and shoes is for every  women  one of  their  favourite  hobby  and if it were possible  they  would stay  the whole day in the shopping-centre .,Looking  for clothes and shoes is for every  woman  one of  her  favourite  hobbies  and if it were possible  she  would stay  in the shopping-centre the whole day .
For example: you have in your memory a great pair of shoes that you  have seen  last week in a shop.,For example: you have in your memory a great pair of shoes that you  saw  last week in a shop.
Now you  will   by to buy it but it's nowhere to  find !,Now you  want   buy to buy it but it's nowhere to  be found !
Sometimes it's  very  awful when you have to wait a very long time until it's your turn to pay or to try some clothes on.,Sometimes it's  really  awful when you have to wait a very long time until it's your turn to pay or to try some clothes on.
"Another thing that makes you  fourious  , is when you see a great shirt in a shop and somebody else take  it away or  buy  it before you can react.",Another thing that makes you  furious  takes  it away or  buys  it before you can react.
"That  things  had happend happen to everybody,  hadn't  they?","Those  things  happened happen to everybody,  don't  they?"
"To be honest I had doubts about winning the competition, because in spite of  I think  I did well, I had to play against  a very strong competence .","To be honest I had doubts about winning the competition, because in spite of  thinking  I did well, I had to play against  competition ."
The idea  about  going to California for 2 weeks  make  me feel very excited.,The idea  of  going to California for 2 weeks  makes  me feel very excited.
"According   with  your letter, July is the period of time that suits me best.","Referring   to  your letter, July is the period of time that suits me best."
I am really  surprise  about how many activities can be  practised  in this place.,I am really  surprised  about how many activities can be  done  in this place.
If it is possible I would like  swimming .,If it is possible I would like  to swim .
"On one hand  I think that climbing sounds very exciting, but on the other hand it scares me a lot, so I will play tennis.","On the one hand  I think that climbing sounds very exciting, but on the other hand it scares me a lot, so I will play tennis."
"By the way, I would like to know if the  level of life  in the USA is similar to the UK.","By the way, I would like to know if the  cost of living  in the USA is similar to the UK."
Normally I  enjoy really much shopping .,Normally I  really enjoy shopping .
In fact when I don't feel very happy I decide to  do  shopping to try to  cher  myself up.,In fact when I don't feel very happy I decide to  go  shopping to try to  cheer  myself up.
I don't like it when I have to try on  differents  sizes because the small size doesn't fit  on my body  because I have  got  weight.,I don't like it when I have to try on  different  sizes because the small size doesn't fit  me  because I have  put on  weight.
It is  in  this moment when really I  realiase  I am getting fat and it is a horrible feeling.,It is  at  this moment when really I  realise  I am getting fat and it is a horrible feeling.
"Many times we buy things that,  in fact , we don't need and, sometimes you are  surprise  when you check the balance of your bank account and then you need to cut down on your expenses for 2 months.","Many times we buy things that,  actually , we don't need and, sometimes you are  surprised  when you check the balance of your bank account and then you need to cut down on your expenses for 2 months."
"But from another point of view, it is silly to be earning money and  don't spend  it as you want.","But from another point of view, it is silly to be earning money and  not spending  it as you want."
Thank's  for  accept  me in the competition.,Thanks  for  accepting  me in the competition.
"I hear that the competition there  are  very  good , and  the  Camp California is very famous for  his  competitions.","I hear that the competition there  is  very  intense , and  that  Camp California is very famous for  its  competitions."
"I would like to travel  on  July because before then it's impossible for me and  in July it's my birthday  and I wish to spend my birthday at the camp, also 'cause in August the planes are full.","I would like to travel  in  July because before then it's impossible for me and  it's my birthday in July  and I wish to spend my birthday at the camp, also 'cause in August the planes are full."
Another thing is my accommodation. I prefer to have log cabins because it's  easyeast  for me.,Another thing is my accommodation. I prefer to have log cabins because it's  easiest  for me.
"I will choose for my activities tennis and swimming ,  I'm good  on  tennis because I  play  since 1990 and I  loved  it and I chose swimming because I like to swim and I've been in two  competition  and I won both.",I will choose for my activities tennis and swimming .  I'm good  at  tennis because I  have played  since 1990 and I  love  it and I chose swimming because I like to swim and I've been in two  competitions  and I won both.
